1860771535000	0   1   0   1   0   1   0     0
1860771545000	0   1   1   0   0   1   0     0
1860771555000	0   1   0   1   0   1   0     0
1860771565000	0   1   1   0   0   1   0     0
1860771575000	0   1   0   1   0   1   0     0
1860771585000	0   1   1   0   0   1   0     0
1860771595000	0   1   0   1   0   1   0     0
1860771605000	0   1   1   0   0   1   0     0
1860771615000	0   1   0   1   0   1   0     0
1860771625000	0   1   1   0   0   1   0     0
1860771635000	0   1   0   1   0   1   0     0
1860771645000	0   1   1   0   0   1   0     0
1860771655000	0   1   0   1   0   1   0     0
1860771665000	0   1   1   0   0   1   0     0
1860771675000	0   1   0   1   0   1   0     0
1860771685000	0   1   1   0   0   1   0     0
1860771695000	0   1   0   1   0   1   0     0
1860771705000	0   1   1   0   0   1   0     0
1860771715000	0   1   0   1   0   1   0     0
1860771725000	0   1   1   0   0   1   0     0
1860771735000	0   1   0   1   0   1   0     0
1860771745000	0   1   1   0   0   1   0     0
1860771755000	0   1   0   1   0   1   0     0
1860771765000	0   1   1   0   0   1   0     0
1860771775000	0   1   0   1   0   1   0     0
1860771785000	0   1   1   0   0   1   0     0
1860771795000	0   1   0   1   0   1   0     0
1860771805000	0   1   1   0   0   1   0     0
1860771815000	0   1   0   1   0   1   0     0
1860771825000	0   1   1   0   0   1   0     0
1860771835000	0   1   0   1   0   1   0     0
1860771845000	0   1   1   0   0   1   0     0
1860771855000	0   1   0   1   0   1   0     0
1860771865000	0   1   1   0   0   1   0     0
1860771875000	0   1   0   1   0   1   0     0
1860771885000	0   1   1   0   0   1   0     0
1860771895000	0   1   0   1   0   1   0     0
1860771905000	0   1   1   0   0   1   0     0
1860771915000	0   1   0   1   0   1   0     0
1860771925000	0   1   1   0   0   1   0     0
1860771935000	0   1   0   1   0   1   0     0
1860771945000	0   1   1   0   0   1   0     0
1860771955000	0   1   0   1   0   1   0     0
1860771965000	0   1   1   0   0   1   0     0
1860771975000	0   1   0   1   0   1   0     0
1860771985000	0   1   1   0   0   1   0     0
1860771995000	0   1   0   1   0   1   0     0
1860772005000	0   1   1   0   0   1   0     0
1860772015000	0   1   0   1   0   1   0     0
1860772025000	0   1   1   0   0   1   0     0
1860772035000	0   1   0   1   0   1   0     0
1860772045000	0   1   1   0   0   1   0     0
1860772055000	0   1   0   1   0   1   0     0
1860772065000	0   1   1   0   0   1   0     0
1860772075000	0   1   0   1   0   1   0     0
1860772085000	0   1   1   0   0   1   0     0
1860772095000	0   1   0   1   0   1   0     0
1860772105000	0   1   1   0   0   1   0     0
1860772115000	0   1   0   1   0   1   0     0
1860772125000	0   1   1   0   0   1   0     0
1860772135000	0   1   0   1   0   1   0     0
1860772145000	0   1   1   0   0   1   0     0
1860772155000	0   1   0   1   0   1   0     0
1860772165000	0   1   1   0   0   1   0     0
1860772175000	0   1   0   1   0   1   0     0
1860772185000	0   1   1   0   0   1   0     0
1860772195000	0   1   0   1   0   1   0     0
1860772205000	0   1   1   0   0   1   0     0
1860772215000	0   1   0   1   0   1   0     0
1860772225000	0   1   1   0   0   1   0     0
1860772235000	0   1   0   1   0   1   0     0
1860772245000	0   1   1   0   0   1   0     0
1860772255000	0   1   0   1   0   1   0     0
1860772265000	0   1   1   0   0   1   0     0
1860772275000	0   1   0   1   0   1   0     0
1860772285000	0   1   1   0   0   1   0     0
1860772295000	0   1   0   1   0   1   0     0
1860772305000	0   1   1   0   0   1   0     0
1860772315000	0   1   0   1   0   1   0     0
1860772325000	0   1   1   0   0   1   0     0
1860772335000	0   1   0   1   0   1   0     0
1860772345000	0   1   1   0   0   1   0     0
1860772355000	0   1   0   1   0   1   0     0
1860772365000	0   1   1   0   0   1   0     0
1860772375000	0   1   0   1   0   1   0     0
1860772385000	0   1   1   0   0   1   0     0
1860772395000	0   1   0   1   0   1   0     0
1860772405000	0   1   1   0   0   1   0     0
1860772415000	0   1   0   1   0   1   0     0
1860772425000	0   1   1   0   0   1   0     0
1860772435000	0   1   0   1   0   1   0     0
1860772445000	0   1   1   0   0   1   0     0
1860772455000	0   1   0   1   0   1   0     0
1860772465000	0   1   1   0   0   1   0     0
1860772475000	0   1   0   1   0   1   0     0
1860772485000	0   1   1   0   0   1   0     0
1860772495000	0   1   0   1   0   1   0     0
1860772505000	0   1   1   0   0   1   0     0
1860772515000	0   1   0   1   0   1   0     0
1860772525000	0   1   1   0   0   1   0     0
1860772535000	0   1   0   1   0   1   0     0
1860772545000	0   1   1   0   0   1   0     0
1860772555000	0   1   0   1   0   1   0     0
1860772565000	0   1   1   0   0   1   0     0
1860772575000	0   1   0   1   0   1   0     0
1860772585000	0   1   1   0   0   1   0     0
1860772595000	0   1   0   1   0   1   0     0
1860772605000	0   1   1   0   0   1   0     0
1860772615000	0   1   0   1   0   1   0     0
1860772625000	0   1   1   0   0   1   0     0
1860772635000	0   1   0   1   0   1   0     0
1860772645000	0   1   1   0   0   1   0     0
1860772655000	0   1   0   1   0   1   0     0
1860772665000	0   1   1   0   0   1   0     0
1860772675000	0   1   0   1   0   1   0     0
1860772685000	0   1   1   0   0   1   0     0
1860772695000	0   1   0   1   0   1   0     0
1860772705000	0   1   1   0   0   1   0     0
1860772715000	0   1   0   1   0   1   0     0
1860772725000	0   1   1   0   0   1   0     0
1860772735000	0   1   0   1   0   1   0     0
1860772745000	0   1   1   0   0   1   0     0
1860772755000	0   1   0   1   0   1   0     0
1860772765000	0   1   1   0   0   1   0     0
1860772775000	0   1   0   1   0   1   0     0
1860772785000	0   1   1   0   0   1   0     0
1860772795000	0   1   0   1   0   1   0     0
1860772805000	0   1   1   0   0   1   0     0
1860772815000	0   1   0   1   0   1   0     0
1860772825000	0   1   1   0   0   1   0     0
1860772835000	0   1   0   1   0   1   0     0
1860772845000	0   1   1   0   0   1   0     0
1860772855000	0   1   0   1   0   1   0     0
1860772865000	0   1   1   0   0   1   0     0
1860772875000	0   1   0   1   0   1   0     0
1860772885000	0   1   1   0   0   1   0     0
1860772895000	0   1   0   1   0   1   0     0
1860772905000	0   1   1   0   0   1   0     0
1860772915000	0   1   0   1   0   1   0     0
1860772925000	0   1   1   0   0   1   0     0
1860772935000	0   1   0   1   0   1   0     0
1860772945000	0   1   1   0   0   1   0     0
1860772955000	0   1   0   1   0   1   0     0
1860772965000	0   1   1   0   0   1   0     0
1860772975000	0   1   0   1   0   1   0     0
1860772985000	0   1   1   0   0   1   0     0
1860772995000	0   1   0   1   0   1   0     0
1860773005000	0   1   1   0   0   1   0     0
1860773015000	0   1   0   1   0   1   0     0
1860773025000	0   1   1   0   0   1   0     0
1860773035000	0   1   0   1   0   1   0     0
1860773045000	0   1   1   0   0   1   0     0
1860773055000	0   1   0   1   0   1   0     0
1860773065000	0   1   1   0   0   1   0     0
1860773075000	0   1   0   1   0   1   0     0
1860773085000	0   1   1   0   0   1   0     0
1860773095000	0   1   0   1   0   1   0     0
1860773105000	0   1   1   0   0   1   0     0
1860773115000	0   1   0   1   0   1   0     0
1860773125000	0   1   1   0   0   1   0     0
1860773135000	0   1   0   1   0   1   0     0
1860773145000	0   1   1   0   0   1   0     0
1860773155000	0   1   0   1   0   1   0     0
1860773165000	0   1   1   0   0   1   0     0
1860773175000	0   1   0   1   0   1   0     0
1860773185000	0   1   1   0   0   1   0     0
1860773195000	0   1   0   1   0   1   0     0
1860773205000	0   1   1   0   0   1   0     0
1860773215000	0   1   0   1   0   1   0     0
1860773225000	0   1   1   0   0   1   0     0
1860773235000	0   1   0   1   0   1   0     0
1860773245000	0   1   1   0   0   1   0     0
1860773255000	0   1   0   1   0   1   0     0
1860773265000	0   1   1   0   0   1   0     0
1860773275000	0   1   0   1   0   1   0     0
1860773285000	0   1   1   0   0   1   0     0
1860773295000	0   1   0   1   0   1   0     0
1860773305000	0   1   1   0   0   1   0     0
1860773315000	0   1   0   1   0   1   0     0
1860773325000	0   1   1   0   0   1   0     0
1860773335000	0   1   0   1   0   1   0     0
1860773345000	0   1   1   0   0   1   0     0
1860773355000	0   1   0   1   0   1   0     0
1860773365000	0   1   1   0   0   1   0     0
1860773375000	0   1   0   1   0   1   0     0
1860773385000	0   1   1   0   0   1   0     0
1860773395000	0   1   0   1   0   1   0     0
1860773405000	0   1   1   0   0   1   0     0
1860773415000	0   1   0   1   0   1   0     0
1860773425000	0   1   1   0   0   1   0     0
1860773435000	0   1   0   1   0   1   0     0
1860773445000	0   1   1   0   0   1   0     0
1860773455000	0   1   0   1   0   1   0     0
1860773465000	0   1   1   0   0   1   0     0
1860773475000	0   1   0   1   0   1   0     0
1860773485000	0   1   1   0   0   1   0     0
1860773495000	0   1   0   1   0   1   0     0
1860773505000	0   1   1   0   0   1   0     0
1860773515000	0   1   0   1   0   1   0     0
1860773525000	0   1   1   0   0   1   0     0
1860773535000	0   1   0   1   0   1   0     0
1860773545000	0   1   1   0   0   1   0     0
1860773555000	0   1   0   1   0   1   0     0
1860773565000	0   1   1   0   0   1   0     0
1860773575000	0   1   0   1   0   1   0     0
1860773585000	0   1   1   0   0   1   0     0
1860773595000	0   1   0   1   0   1   0     0
1860773605000	0   1   1   0   0   1   0     0
1860773615000	0   1   0   1   0   1   0     0
1860773625000	0   1   1   0   0   1   0     0
1860773635000	0   1   0   1   0   1   0     0
1860773645000	0   1   1   0   0   1   0     0
1860773655000	0   1   0   1   0   1   0     0
1860773665000	0   1   1   0   0   1   0     0
1860773675000	0   1   0   1   0   1   0     0
1860773685000	0   1   1   0   0   1   0     0
1860773695000	0   1   0   1   0   1   0     0
1860773705000	0   1   1   0   0   1   0     0
1860773715000	0   1   0   1   0   1   0     0
1860773725000	0   1   1   0   0   1   0     0
1860773735000	0   1   0   1   0   1   0     0
1860773745000	0   1   1   0   0   1   0     0
1860773755000	0   1   0   1   0   1   0     0
1860773765000	0   1   1   0   0   1   0     0
1860773775000	0   1   0   1   0   1   0     0
1860773785000	0   1   1   0   0   1   0     0
1860773795000	0   1   0   1   0   1   0     0
1860773805000	0   1   1   0   0   1   0     0
1860773815000	0   1   0   1   0   1   0     0
1860773825000	0   1   1   0   0   1   0     0
1860773835000	0   1   0   1   0   1   0     0
1860773845000	0   1   1   0   0   1   0     0
1860773855000	0   1   0   1   0   1   0     0
1860773865000	0   1   1   0   0   1   0     0
1860773875000	0   1   0   1   0   1   0     0
1860773885000	0   1   1   0   0   1   0     0
1860773895000	0   1   0   1   0   1   0     0
1860773905000	0   1   1   0   0   1   0     0
1860773915000	0   1   0   1   0   1   0     0
1860773925000	0   1   1   0   0   1   0     0
1860773935000	0   1   0   1   0   1   0     0
1860773945000	0   1   1   0   0   1   0     0
1860773955000	0   1   0   1   0   1   0     0
1860773965000	0   1   1   0   0   1   0     0
1860773975000	0   1   0   1   0   1   0     0
1860773985000	0   1   1   0   0   1   0     0
1860773995000	0   1   0   1   0   1   0     0
1860774005000	0   1   1   0   0   1   0     0
1860774015000	0   1   0   1   0   1   0     0
1860774025000	0   1   1   0   0   1   0     0
